# Photons/cm2/s/nm/W(of effective power),,,,,,,
Lambda,Kowal.Incandescent,Kowal.Halogen,Kowal.LED,Kowal.CFL,Kowal.UFT,Kowal.CFT,Kowal.SFT
513,,,,1.21E+12,2.02E+11,2.35E+11,5.33E+11
514,2.09E+12,2.04E+12,2.68E+12,1.04E+12,1.99E+11,2.29E+11,5.07E+11
515,,,,9.84E+11,1.94E+11,2.25E+11,4.92E+11
516,2.14E+12,2.09E+12,2.76E+12,1.04E+12,1.90E+11,2.21E+11,4.82E+11
517,,,,1.00E+12,1.83E+11,2.13E+11,4.56E+11
518,2.19E+12,2.13E+12,2.84E+12,9.46E+11,1.70E+11,2.05E+11,4.22E+11
519,,,,9.20E+11,1.59E+11,1.97E+11,4.00E+11
520,2.26E+12,2.19E+12,2.94E+12,9.02E+11,1.53E+11,1.90E+11,3.76E+11
521,,,,8.80E+11,1.46E+11,1.84E+11,3.52E+11
522,2.32E+12,2.24E+12,3.03E+12,8.31E+11,1.38E+11,1.79E+11,3.31E+11
523,,,,8.55E+11,1.33E+11,1.74E+11,3.18E+11
524,2.38E+12,2.30E+12,3.12E+12,9.29E+11,1.30E+11,1.71E+11,3.13E+11
525,,,,1.06E+12,1.30E+11,1.69E+11,3.08E+11
526,2.44E+12,2.35E+12,3.22E+12,1.29E+12,1.31E+11,1.71E+11,3.22E+11
527,,,,1.49E+12,1.36E+11,1.72E+11,3.40E+11
528,2.51E+12,2.40E+12,3.32E+12,1.59E+12,1.38E+11,1.69E+11,3.38E+11
529,,,,1.69E+12,1.37E+11,1.66E+11,3.27E+11
530,2.57E+12,2.45E+12,3.41E+12,1.97E+12,1.42E+11,1.70E+11,3.51E+11
531,,,,2.94E+12,1.65E+11,1.99E+11,4.82E+11
532,2.63E+12,2.51E+12,3.52E+12,5.60E+12,2.77E+11,3.03E+11,1.01E+12
533,,,,7.96E+12,4.42E+11,3.96E+11,1.51E+12
534,2.70E+12,2.57E+12,3.63E+12,8.31E+12,5.03E+11,3.93E+11,1.50E+12
535,,,,9.32E+12,5.15E+11,3.79E+11,1.45E+12
536,2.77E+12,2.63E+12,3.75E+12,1.45E+13,6.88E+11,4.84E+11,2.05E+12
537,,,,2.36E+13,1.23E+12,7.95E+11,3.83E+12
538,2.84E+12,2.68E+12,3.86E+12,3.58E+13,2.23E+12,1.28E+12,6.60E+12
539,,,,6.01E+13,3.67E+12,1.92E+12,1.04E+13
540,2.90E+12,2.74E+12,3.98E+12,1.16E+14,6.01E+12,3.23E+12,1.79E+13
541,,,,1.75E+14,1.20E+13,6.03E+12,3.49E+13
542,2.97E+12,2.79E+12,4.11E+12,1.92E+14,2.01E+13,9.20E+12,5.39E+13
543,,,,1.77E+14,2.49E+13,1.07E+13,6.21E+13
544,3.04E+12,2.85E+12,4.24E+12,2.09E+14,2.46E+13,1.09E+13,6.08E+13
545,,,,3.28E+14,2.49E+13,1.16E+13,6.02E+13
546,3.12E+12,2.91E+12,4.39E+12,3.61E+14,2.20E+13,1.01E+13,4.94E+13
547,,,,2.38E+14,1.39E+13,6.04E+12,2.86E+13
548,3.19E+12,2.98E+12,4.54E+12,1.42E+14,8.15E+12,3.79E+12,1.91E+13
549,,,,9.38E+13,6.94E+12,3.10E+12,1.70E+13
550,3.26E+12,3.04E+12,4.70E+12,7.01E+13,6.20E+12,2.72E+12,1.50E+13
551,,,,5.25E+13,5.37E+12,2.39E+12,1.32E+13
552,3.34E+12,3.10E+12,4.85E+12,3.96E+13,4.87E+12,2.11E+12,1.19E+13
553,,,,3.00E+13,3.94E+12,1.66E+12,9.20E+12
554,3.41E+12,3.16E+12,5.02E+12,2.23E+13,2.57E+12,1.10E+12,5.79E+12
555,,,,1.62E+13,1.47E+12,6.69E+11,3.32E+12
556,3.49E+12,3.23E+12,5.20E+12,1.22E+13,9.10E+11,4.46E+11,2.14E+12
557,,,,9.63E+12,6.74E+11,3.45E+11,1.62E+12
558,3.58E+12,3.30E+12,5.39E+12,7.97E+12,5.57E+11,2.89E+11,1.34E+12
559,,,,6.83E+12,4.76E+11,2.55E+11,1.16E+12
560,3.65E+12,3.36E+12,5.57E+12,6.14E+12,4.16E+11,2.34E+11,1.04E+12
561,,,,5.85E+12,3.77E+11,2.23E+11,9.81E+11
562,3.74E+12,3.43E+12,5.78E+12,5.62E+12,3.47E+11,2.17E+11,9.34E+11
563,,,,5.25E+12,3.13E+11,2.02E+11,8.47E+11
564,3.82E+12,3.50E+12,5.98E+12,4.84E+12,2.75E+11,1.83E+11,7.48E+11
565,,,,4.46E+12,2.46E+11,1.70E+11,6.75E+11
566,3.90E+12,3.56E+12,6.18E+12,4.26E+12,2.29E+11,1.63E+11,6.30E+11
567,,,,4.30E+12,2.28E+11,1.64E+11,6.34E+11
568,4.00E+12,3.63E+12,6.42E+12,4.34E+12,2.41E+11,1.69E+11,6.69E+11
569,,,,4.03E+12,2.46E+11,1.65E+11,6.63E+11
