Wavelength,X,yield
0.4055,7.15E-20,1
0.406,7.19E-20,1
0.4065,7.32E-20,1
0.407,7.58E-20,1
0.4075,7.88E-20,1
0.408,7.97E-20,1
0.4085,7.91E-20,1
0.409,8.11E-20,1
0.4095,8.41E-20,1
0.41,8.53E-20,1
0.4105,8.59E-20,1
0.411,8.60E-20,1
0.4115,8.80E-20,1
0.412,9.04E-20,1
0.4125,9.45E-20,1
0.413,9.34E-20,1
0.4135,9.37E-20,1
0.414,9.63E-20,1
0.4145,9.71E-20,1
0.415,9.70E-20,1
0.4155,9.65E-20,1
0.416,9.69E-20,1
0.4165,9.89E-20,1
0.417,1.00E-19,1
0.4175,1.02E-19,1
0.418,1.00E-19,1
0.4185,1.02E-19,1
0.419,1.01E-19,1
0.4195,1.01E-19,1
0.42,1.03E-19,1
0.4205,1.01E-19,1
0.421,1.04E-19,1
0.4215,1.05E-19,1
0.422,1.06E-19,1
0.4225,1.04E-19,1
0.423,1.05E-19,1
0.4235,1.05E-19,1
0.424,1.01E-19,1
0.4245,1.01E-19,1
0.425,1.05E-19,1
0.4255,1.03E-19,1
0.426,1.02E-19,1
0.4265,1.01E-19,1
0.427,9.77E-20,1
0.4275,9.81E-20,1
0.428,1.00E-19,1
0.4285,1.02E-19,1
0.429,9.89E-20,1
0.4295,9.85E-20,1
0.43,1.04E-19,1
0.4305,1.08E-19,1
0.431,1.05E-19,1
0.4315,1.02E-19,1
0.432,9.64E-20,1
0.4325,1.01E-19,1
0.433,1.06E-19,1
0.4335,1.09E-19,1
0.434,1.04E-19,1
0.4345,1.03E-19,1
0.435,1.07E-19,1
0.4355,1.16E-19,1
0.436,1.09E-19,1
0.4365,1.11E-19,1
0.437,9.81E-20,1
0.4375,9.71E-20,1
0.438,1.06E-19,1
0.4385,1.16E-19,1
0.439,1.08E-19,1
0.4395,1.05E-19,1
0.44,9.70E-20,1
0.4405,1.01E-19,1
0.441,1.04E-19,1
0.4415,1.07E-19,1
0.442,1.02E-19,1
0.4425,9.68E-20,1
0.443,1.00E-19,1
0.4435,1.14E-19,1
0.444,1.13E-19,1
0.4445,1.03E-19,1
0.445,9.74E-20,1
0.4455,8.46E-20,1
0.446,8.70E-20,1
0.4465,9.97E-20,1
0.447,1.01E-19,1
0.4475,9.15E-20,1
0.448,9.41E-20,1
0.4485,8.99E-20,1
0.449,1.10E-19,1
0.4495,9.12E-20,1
0.45,8.56E-20,1
0.4505,8.28E-20,1
0.451,6.15E-20,1
0.4515,5.56E-20,1
0.452,6.47E-20,1
0.4525,7.27E-20,1
0.453,5.75E-20,1
0.4535,5.08E-20,1
0.454,4.38E-20,1
0.4545,3.81E-20,1
0.455,3.61E-20,1
0.4555,3.61E-20,1
0.456,3.13E-20,1
0.4565,2.72E-20,1
0.457,2.44E-20,1
0.4575,2.22E-20,1
0.458,1.82E-20,1
0.4585,1.43E-20,1
0.459,1.32E-20,1
0.4595,1.05E-20,1
0.46,8.95E-21,1
0.4605,8.90E-21,1
0.461,7.94E-21,1
0.4615,7.04E-21,1
0.462,6.46E-21,1
0.4625,5.63E-21,1
0.463,4.78E-21,1
0.4635,3.94E-21,1
0.464,3.26E-21,1
0.4645,2.97E-21,1
0.465,2.65E-21,1
0.4655,2.46E-21,1
0.466,2.27E-21,1
0.4665,2.08E-21,1
0.467,1.86E-21,1
0.4675,1.76E-21,1
0.468,1.60E-21,1
0.4685,1.44E-21,1
0.469,1.34E-21,1
0.4695,1.20E-21,1
0.47,1.07E-21,1
0.4705,1.02E-21,1
0.471,9.92E-22,1
0.4715,9.97E-22,1
0.472,8.87E-22,1
0.4725,8.27E-22,1
0.473,7.76E-22,1
0.4735,7.15E-22,1
0.474,6.71E-22,1
0.4745,6.67E-22,1
0.475,6.10E-22,1
0.4755,6.17E-22,1
0.476,5.54E-22,1
0.4765,5.22E-22,1
0.477,5.10E-22,1
0.4775,5.17E-22,1
0.478,4.80E-22,1
0.4785,4.71E-22,1
0.479,4.60E-22,1
0.4795,4.35E-22,1
0.48,3.90E-22,1
0.4805,3.71E-22,1
0.481,3.62E-22,1
0.4815,3.52E-22,1
0.482,3.05E-22,1
0.4825,3.05E-22,1
0.483,2.86E-22,1
0.4835,2.53E-22,1
0.484,2.75E-22,1
0.4845,2.59E-22,1
0.485,2.47E-22,1
0.4855,2.36E-22,1
0.486,2.12E-22,1
0.4865,1.89E-22,1
0.487,1.93E-22,1
0.4875,1.86E-22,1
0.488,1.82E-22,1
0.4885,1.75E-22,1
0.489,1.74E-22,1
0.4895,1.72E-22,1
0.49,1.66E-22,1
0.4905,1.75E-22,1
0.491,1.54E-22,1
0.4915,1.74E-22,1
0.492,1.63E-22,1
0.4925,1.53E-22,1
0.493,1.52E-22,1
0.4935,5.85E-23,1
0.494,0,1
