"","HCOOH.O","CCO_OH.O","RCO_OH.O","CCO_OOH.O","RCO_OOH.O","SO2.O","ALK1.O","BACL.O","PAN.O","PAN2.O","MA_PAN.O","H2O2.O","N2O5.O","HONO.O","ALK2.O","ALK3.O","ALK5.O","ARO2.O","HNO4.O","COOH.O","MEOH.O","ALK4.O","ARO1.O","DCB2.O","DCB3.O","CRES.O","NPHE.O","ROOH.O","BALD.O","PHEN.O","CO.O","MGLY.O","ACET.O","HNO3.O","ETHENE.O","GLY.O","ISOPRENE.O","TERP.O","METHACRO.O","OLE1.O","ISOPROD.O","OLE2.O","MVK.O","CCHO.O","HCHO.O","RNO3.O","RCHO.O","MEK.O","PROD2.O","O3.O","HO2.O","RO2_N.O","RO2_R.O","NO.O","NO2.O","NO3.O","CO.S","ACET.S","HCHO.S","NO2.S","UFP.S","To","a","LightFlux"
"ACET max",256.960544918438,299.074670166388,366.846421067118,366.846421067118,372.808512572327,587.271497155814,1396.71749794344,67.3453482767881,50.6344986841774,76.7699945905914,470.514210914812,76.6902636030056,1396.71749794344,341.632577496066,826.341596427308,200.21549364128,279.343499588688,497.105618534586,372.808512572327,705.911958614588,288.691231100258,740.801062709585,1101.33371510524,612.320845406624,212.355571385891,67.3453482767881,103.178419366493,1305.33450578338,729.726443703167,67.3453482767881,4.18651502048677,639.495926922561,618.385797932298,110.799449681992,816.907448006168,470.514210914812,162.06833418237,1244.96456497728,1481.60212541917,64.3055698144788,597.818112757758,1244.96456497728,1481.60212541917,98.7683597709443,145.911375960297,1057.72170816426,1057.72170816426,1491.31685560376,151.984696347813,47.5681383024845,312.524427932423,101.350191389506,103.178419366493,157.333387872178,63.3058687570242,103.178419366493,0.0496728222314431,1101.33371510524,1101.33371510524,8.03358334765052,0.80565743606821,0.171124417782827,4.06704421730524,178.478330991898
"HNO3 median",0.170560067241822,0.564117699802803,0,0,0,0.0152251860498606,-0.031770925506801,0,0.0658932626504104,0.0935450423671512,0.618751864378217,0.0337127085575865,0,-0.0231333459161022,-0.0106099314872914,-0.00274786845979966,-0.00475043002847041,-0.0528068264122535,0,0.0240686519324272,0.0243151649743103,-0.00141362693629622,-0.00603769405796221,0,0,0,0,-0.105637501129869,0,0,-5.86225002453868e-06,-0.00956049164129929,-0.0168482933443058,0.0414060837815075,-0.0231138489571054,0.477136907079502,0.00370404351399318,0,-0.0812816778451533,-0.0316954378063429,-0.130298225020499,-0.00691652931571305,-0.0698006865916011,0.0467450780734366,0.0284996423805917,0.10782533888249,0,0.0624025762412362,-0.0698811255357058,0.00106186578530397,0,0,0,-0.00162814221787745,-0.00167041792509218,0,0,0,0,0,0,6.17903509111584e-06,0.000133837742109016,0
"HNO3 min",-11.4641825214353,-3.85033928260606,-12.525086708101,-19.2516964130303,-19.2516964130303,-6.78868448531715,-157.07126299309,-13.4232661596164,-0.633599260638905,-1.02079880880713,-4.81292410325758,-2.59892651066144,-12.2951554242226,-41.8856701314906,-108.325008960752,-22.7639511584188,-66.8388353162084,-130.892719160908,-17.7415814931459,-12.525086708101,-2.95204399780654,-76.6201282893121,-165.338171571673,-11.9306546123608,-19.2516964130303,-13.4232661596164,-7.63405535789376,-209.428350657453,-12.0875875947191,-13.4232661596164,-1.75891671884759,-5.41046686227475,-74.7958395205189,-0.780572545595816,-38.7830278995283,-11.4641825214353,-2.97677085325702,-11.1892743973759,-3141.4252598618,-36.1083363202505,-314.14252598618,-3141.4252598618,-13.0499530110295,-2.04779142205032,-1.61742441528625,-628.285051972359,-2.86200714414948,-13.3567659868145,-261.785438321816,-0.175069231766492,-5.0064445998879,-5.12170553634879,-7.63405535789376,-0.636899028968628,-3.55767300097599,-6.89279845584089,-0.00547128000063674,-285.58411453289,-523.570876643633,-1.68515424019612,-3.77575151425697,-0.00150639002992191,-0.185523762815583,-0.631322187550601
"HNO3 max",241.648096912446,785.356314965449,1047.14175328727,3141.4252598618,3141.4252598618,27.8002235386,3.72975813245862,3141.4252598618,125.657010394472,224.387518561557,1570.7126299309,44.8775037123114,3141.4252598618,0.611778672177446,4.09838514140755,1.08987054365784,1.59846777105369,1.63124412637869,9.20374663677898,785.356314965449,68.2918534752564,1.22951554242226,12.2951554242226,0,3141.4252598618,12.2677403012233,0,2.50322229994395,19.2516964130303,12.2677403012233,0.0166614420783208,1570.7126299309,2.26289482843905,73.0564013921348,1.13144741421952,1047.14175328727,68.2918534752564,785.356314965449,1.75015421936639,0.111254324441953,2.3776263973567,4.91733609571488,1570.7126299309,174.523625547878,57.1168229065781,11.4641825214353,7.4995177365827,314.14252598618,17.7415814931459,1.18948324871708,11.4641825214353,0,3141.4252598618,24.1648096912446,0.272138834419554,1.49594920370753,0.00463522651926234,0.0128525291985474,0.0284839836292132,0.0254159735989083,2.03850559822222e-05,0.0134969935976876,1.22472719682721,1.06347161579334
"ETHENE median",0,-12.3093861528761,0,0,0,-0.218423285019391,2.17120919990777,0,-3.66190498476797,-3.8974912458179,-11.5113298232266,-1.55440448983326,0,1.47831832108172,1.44401019921139,0.260234540790525,0.487508965055895,0.774606785067665,0,-12.1845968971198,-0.486981596944021,0.457284260909086,1.19743416015404,0,0,0,0,6.36837649844491,0,0,0.00205883666126933,8.98127610825963,1.17293705765505,-1.55570322987682,0.916441070415232,0,-2.6716517820113,0,4.06048741313396,0.944775440783662,5.08308386540367,0.879925071994099,2.49454832029122,0,0.202811449202586,0.247767681610254,1.97054151321038,1.01575521925254,3.49768758683953,-0.0457978089537658,0,0,0,0.0591871024251333,0.0369003291007982,0,0,0,0,0,0,-0.000472859722568347,-0.00857245759282327,0
"ETHENE min",-95.830691963755,-204.934328251175,-141.324835444541,-197.351195124426,-208.894004299135,-32.5148865583532,-73.5674453331301,-208.894004299135,-107.565362138577,-170.312336508182,-204.934328251175,-72.0689757959158,-122.188554288647,-60.8262824912621,-87.3090611191007,-87.3090611191007,-60.8262824912621,-97.1926717357901,-98.1910344996275,-95.1730003345725,-139.468587993772,-33.7524945721916,-170.312336508182,0,-122.188554288647,-204.852559474593,0,-94.5793837799863,-57.6790053417849,-204.852559474593,-3.88467908476575,-158.464838922056,-73.5674453331301,-96.8202202331585,-23.5922443208068,-170.312336508182,-82.9457449882258,-106.991600278904,-106.991600278904,-68.3931448553591,-101.257483716575,-110.16530805109,-118.920759051654,-31.1589963941179,-93.806478059872,-99.2333129064379,-66.5300448643712,-141.324835444541,-11.6052224610631,-6.21761795933305,-93.0792090586566,0,-122.188554288647,-11.0507791477848,-3.10877931160723,-90.747402341008,-0.00150291754677204,-0.759262863184118,-1.6826906697594,-0.0112522099051519,-0.00120424670756475,-0.106376158482484,-3.69744780410297,-89.2046020892817
"ETHENE max",93.0792090586566,78.1788620465486,98.1910344996275,31.4081326541143,46.8401150841295,73.3421875878838,170.312336508182,98.1910344996275,32.9653083339348,21.9768722226232,89.4621477568707,43.9653706073046,170.312336508182,80.5890203206161,91.1493582321963,22.3011505223204,63.3993704182687,82.9457449882258,33.8282995927207,92.2018148145564,73.2793474593447,96.0044830304414,106.991600278904,172.96442397529,98.1910344996275,98.1124145927766,89.6143762828451,204.852559474593,178.086928939848,98.1124145927766,0.698056941084677,139.468587993772,75.2640218562524,61.0070971209597,72.0689757959158,90.2393796760197,91.3627635645001,141.324835444541,192.008966060883,82.9457449882258,95.830691963755,141.324835444541,192.008966060883,40.2892796998865,11.9346207263153,105.163354587701,105.163354587701,204.934328251175,16.1987786226317,41.3772322260943,35.6807942361217,86.09800554468,89.6143762828451,65.9306166678696,70.8264569637735,89.6143762828451,0.03996553945739,106.991600278904,106.991600278904,12.3093861528761,0.145497650165707,0.0208664955290593,2.96665278993978,69.7428569318606
"GLY median",0,0,0,0,0,0.0231558129061665,0.161232306276504,0,-0.141626767652494,-0.173709203312233,0,-0.0646334804112687,0,0.0460956783760587,0.0723447529548441,0.0122849061647471,0.00221343376914806,-0.0640527506814679,0,-1.35278114695818,0.113552371383443,0.00705912418793286,0,0,0,0,0,0.373104585796511,0,0,-0.000415379714423775,0.443130238279988,0.081074013931165,-0.0532497401853808,0.0892319801715769,0,-0.259559330942158,0,0,0.0741130671928298,0,-0.214854258653462,-0.0528937930533901,0.00555565751886781,0.0742062645766861,0.21335462610592,0.0145943937638769,0.1351735224203,0.408075326429328,-0.00153766304637168,0,0,0,-0.00491941094626119,-0.0021104851799683,0,0,0,0,0,0,-5.10858470077072e-05,-0.00076253127264859,0
"GLY min",-22.650206629177,-96.3633412272367,-80.738025772879,-72.8638563540108,-96.3633412272367,-11.7749600065948,-26.9126752576263,-96.3633412272367,-67.5912684283939,-90.6008265167081,-96.3633412272367,-52.6948476727575,-50.3241813026636,-6.00987433497531,-30.2002755055694,-19.1437471109577,-11.5340036818399,-22.6768812532236,0,-27.4363813601258,-30.6222098387837,-9.06008265167081,-90.6008265167081,0,-52.6948476727575,-83.316016613309,0,-3.20748512676262,-27.7494923931273,-83.316016613309,-0.716743115083825,-32.1211137424122,-14.6168308377544,-6.40002635845021,-6.26866895578237,-90.6008265167081,-37.6120137346942,-27.8493464877287,-27.8493464877287,-4.02969525076843,-24.4916586096606,-33.7956342141969,-42.9090584816708,-6.25056520249981,-5.80944250987994,-23.5467237808699,-11.876634691661,-80.738025772879,-23.4633305725224,-0.965525666657504,-4.17749583002014,0,-50.3241813026636,-2.12031089609488,-0.271763704456513,-2.90715014124762,-0.000103955947514628,-0.14483700843489,-0.320990126801648,-0.000778308926418419,-0.00022972214103793,-0.0531840212772167,-0.356832731096918,-19.7732255607833
"GLY max",8.34800046464812,6.93737309828181,27.4363813601258,27.4363813601258,27.7494923931273,37.6120137346942,90.6008265167081,10.6707107845265,2.03467921205718,1.35645280803812,5.48727627202517,6.10066650383048,90.6008265167081,8.38052859006107,31.999052801792,4.94330639019582,18.1201653033416,32.1211137424122,27.7494923931273,26.6197211824029,18.2159640885027,47.998579202688,27.8493464877287,34.4734657808143,18.8967106410021,10.6707107845265,4.59388073032246,83.316016613309,42.8581279991895,10.6707107845265,0.112769855240953,15.657946300314,26.3474238363787,8.34800046464812,52.6948476727575,15.7155228165096,15.7155228165096,80.738025772879,95.9971584053761,4.41077273926967,14.6168308377544,80.738025772879,95.9971584053761,6.45068803575442,4.81077291477519,26.6368964755478,26.6368964755478,96.3633412272367,10.657208064955,3.53952123834019,24.3755152436394,4.59388073032246,11.2463251629676,6.25056520249981,6.26603815327294,4.59388073032246,0.00257772522398808,27.8493464877287,27.8493464877287,0.257441741883964,0.0604857948349322,0.0111003217981755,0.294427503047184,13.0451038878883
"BZ_O median",2.18400219293799e-07,0,0,0,0,9.27060394009326e-08,-8.1803466809016e-07,0,7.73398339390798e-07,7.58503958734903e-07,8.1465448927973e-07,4.0475941037273e-07,0,-5.58923560193783e-07,-5.37344730498255e-07,-1.10224220485654e-07,-2.03261581396307e-07,-3.86185985868718e-07,0,2.14313691911854e-06,5.09159055799831e-08,-1.87175864987718e-07,-4.89252642449115e-07,0,0,0,0,-1.45313388451922e-06,0,0,-8.86914763713582e-10,-2.70352071436389e-06,-3.89882289609315e-07,2.32169450096842e-07,-3.02666171613432e-07,-1.56975363648158e-06,3.48897458885201e-07,-2.64412840931297e-06,0,-2.78493894445659e-07,0,-8.53780047128213e-07,0,-1.67885676003475e-07,-1.20305194668815e-07,0,-8.44744960820183e-07,0,-1.13890734288386e-06,2.59463416925492e-08,0,0,0,-1.2390980582942e-07,-1.36581933878852e-08,0,0,0,0,0,0,1.40267577247861e-10,1.91048086196575e-09,0
"BZ_O min",-0.491254970799958,-1.59657865509986,-2.12877154013315,-6.38631462039946,-6.38631462039946,-0.0565160585876058,-1.83298035817569e-05,-6.38631462039946,-0.255452584815978,-0.456165330028533,-3.19315731019973,-0.0912330660057066,-6.38631462039946,-4.47045866371982e-05,-2.75870118629171e-05,-8.25874200023188e-06,-2.21480125275543e-05,-4.82089837920215e-05,0,-1.59657865509986,-0.138832926530423,-2.36338752977022e-05,-4.42960250551086e-05,-8.90580626257873e-06,-6.38631462039946,-8.77397833192199e-05,-2.37805707409685e-05,-0.000218637029925186,-0.00018215629133929,-8.77397833192199e-05,-4.54440147265147e-07,-3.19315731019973,-2.42955161552862e-05,-0.148518944660453,-5.70544036829124e-06,-2.12877154013315,-0.138832926530423,-1.59657865509986,-5.86546030715987e-05,-4.82089837920215e-05,-6.76683105048374e-05,-7.30545255729378e-05,-3.19315731019973,-0.354795256688859,-0.11611481127999,-0.000174597392701151,-4.48878016019655e-05,-0.638631462039946,-4.45613143121791e-05,-0.00241814260522509,-6.89268763387578e-05,0,-6.38631462039946,-0.0491254970799958,-3.05623268410454e-05,-2.37805707409685e-05,-1.25187062841341e-07,-1.96560197364419e-06,-1.96560197364419e-06,-3.54292902057291e-05,-1.43789464055903e-09,-2.74385160919418e-05,-0.00248979127500954,-4.60679993969433e-05
"BZ_O max",0.000218637029925186,0.000218637029925186,6.89268763387578e-05,0.000101278470237017,8.32069715178693e-05,2.38301445692639e-05,0.319315731019973,5.90772191444691e-05,1.90010326794613e-05,3.05623268410454e-05,0.000109318514962593,1.29269797034014e-05,6.89268763387578e-05,0.0851508616053261,0.220217745531016,0.0462776421768077,0.135879034476584,0.266096442516644,0.000109025784370083,0.000213998564206686,6.32173884095358e-05,0.155763771229255,0.336121822126287,1.21383823233326e-05,6.06373489265504e-05,3.8815885129752e-05,3.72463538308111e-05,0.425754308026631,6.89268763387578e-05,3.8815885129752e-05,0.00357576406517327,3.41479807723843e-05,0.152055110009511,6.95723651238972e-05,0.078843390375302,0.000101278470237017,0.000101278470237017,4.48878016019655e-05,6.38631462039946,0.0734059151770053,0.638631462039946,6.38631462039946,5.30311373999392e-05,2.12866548516753e-05,8.18776828290034e-05,1.27726292407989,9.19772463014758e-05,3.16086942047679e-05,0.532192885033288,3.07993121512817e-06,0.000218637029925186,9.74434581473996e-06,8.70486958753563e-05,3.82927090770877e-06,0.00723251938890086,5.90772191444691e-05,1.42512708806588e-09,0.580574056399951,1.06438577006658,1.0669799664577e-08,0.00767585891874935,2.81088519411117e-08,1.17982028574741e-06,2.48012786045901e-05
"ISOPRENE median",0,0,0,0,0,1.11504580602527e-05,0.476193187755262,0,-0.342957097645112,-0.417858745358454,-0.0173059303775093,-0.192158590066503,0,0.216132732102117,0.198514828900676,0.0532077872913051,0.0567871474370604,-0.0763037354823251,0,-3.87845475297195,0.171974172014777,0.0553156609105019,0.136415814746682,0,0,0,0,1.137877196368,0,0,-0.000176416694641079,1.64901476076474,0.262547009274713,-0.173221860181518,0.398183138584008,0,-0.36750000141893,0,1.14484682241301,0.490748168279735,0,0,0,0.10911896163458,0.0595295210820381,0,0,0.248253288191981,1.2665671139388,-0.00990564889601059,0,0,0,0.0034492052942253,0.000301725168076609,0,0,0,0,0,0,-9.11819023950253e-05,-0.00292305812310588,0
"ISOPRENE min",-128.456190619226,-541.921272226074,-460.197087178682,-403.246978618435,-541.921272226074,-75.0854247122684,-153.399029059561,-541.921272226074,-387.561994003604,-513.824762476905,-541.921272226074,-304.563570548059,-206.839754146688,-33.5392709381774,-171.274920825635,-76.8470213683697,-65.742441025526,-90.6661440020731,0,-153.18752850997,-171.306618505027,-51.3824762476905,-513.824762476905,0,-304.563570548059,-463.807674358846,0,-9.68105488431761,-154.23535396633,-463.807674358846,-3.91150728174409,-180.516794371883,-73.3749356824047,-35.0504974286986,-36.6874678412024,-513.824762476905,-220.124807047214,-141.848683676142,-112.199242696378,-8.9323640156241,-98.0028393823142,-193.780997001802,-184.094207070446,-34.6164873419951,-32.4073660779006,-94.15389843979,-52.8799109124771,-460.197087178682,-135.29787139212,-5.16448677511332,-14.8674883301944,0,-206.839754146688,-8.5271819597216,-1.50506466704326,0,-0.000156243328232715,-0.586583951025032,-1.29999686443385,-0.0011697798920041,-0.000930365260813397,-0.300233391814999,-0.102845925737679,-79.2992346008216
"ISOPRENE max",37.7246289098951,38.5588384915824,153.18752850997,153.18752850997,154.23535396633,220.124807047214,513.824762476905,73.425153309276,4.33462409743168,6.14990324509634,31.3292239730178,32.1404237104848,513.824762476905,34.5608309855763,180.640424075358,25.8057748679083,102.764952495381,180.516794371883,154.23535396633,149.665324910076,100.811744654609,270.960636113037,112.199242696378,181.363234709412,113.91448808955,73.425153309276,8.5739274411278,463.807674358846,229.873894366081,73.425153309276,0.496050988619087,64.4117401468813,152.281785274029,37.7246289098951,304.563570548059,84.4351061592333,84.4351061592333,460.197087178682,541.921272226074,19.6400147151119,73.4035374967007,460.197087178682,541.921272226074,35.2035655356968,24.9859845488621,106.979730743602,125.647865525686,541.921272226074,62.6584479460355,4.67088021173237,133.867474992746,8.5739274411278,59.369295771695,34.6164873419951,34.6254667815371,8.5739274411278,0.0453159134066173,112.199242696378,112.199242696378,13.9573013292381,0.213841057727319,0.0629532911635512,0.0447638700375883,63.4234471690713
